Cancer Type	Alteration Frequency	Alteration Type	Alteration Count
Invasive Breast Carcinoma	7.518796992481203	multiple	10
Invasive Breast Carcinoma	4.511278195488721	homdel	6
Invasive Breast Carcinoma	52.63157894736842	amp	70
Invasive Breast Carcinoma	1.5037593984962405	mutated	2
Lung Cancer	10.256410256410255	multiple	4
Lung Cancer	46.15384615384615	amp	18
Lung Cancer	2.564102564102564	mutated	1
Ovarian Cancer	2.6490066225165565	multiple	4
Ovarian Cancer	2.6490066225165565	homdel	4
Ovarian Cancer	51.65562913907284	amp	78
Ovarian Cancer	1.3245033112582782	mutated	2
Ovarian Epithelial Tumor	2.3972602739726026	multiple	14
Ovarian Epithelial Tumor	1.36986301369863	homdel	8
Ovarian Epithelial Tumor	41.0958904109589	amp	240
Ovarian Epithelial Tumor	0.3424657534246575	structuralVariant	2
Ovarian Epithelial Tumor	1.8835616438356164	mutated	11
Uterine Endometrioid Carcinoma	41.66666666666667	amp	10
Uterine Endometrioid Carcinoma	4.166666666666666	mutated	1
Bladder/Urinary Tract Cancer, NOS	6.944444444444445	multiple	5
Bladder/Urinary Tract Cancer, NOS	1.3888888888888888	homdel	1
Bladder/Urinary Tract Cancer, NOS	34.72222222222222	amp	25
Bladder/Urinary Tract Cancer, NOS	2.7777777777777777	mutated	2
Skin Cancer, Non-Melanoma	43.344709897610926	mutated	127
Breast Cancer	0.5927180355630821	multiple	28
Breast Cancer	0.9314140558848433	homdel	44
Breast Cancer	37.12955122777307	amp	1754
Breast Cancer	0.06350550381033022	structuralVariant	3
Breast Cancer	1.672311600338696	mutated	79
Endometrial Cancer	0.91324200913242	multiple	6
Endometrial Cancer	0.91324200913242	homdel	6
Endometrial Cancer	16.13394216133942	amp	106
Endometrial Cancer	16.7427701674277	mutated	110
Melanoma	3.219927095990279	multiple	53
Melanoma	1.3973268529769136	homdel	23
Melanoma	6.682867557715674	amp	110
Melanoma	0.060753341433778855	structuralVariant	1
Melanoma	22.174969623329282	mutated	365
Esophagogastric Cancer	2.0152883947185547	multiple	29
Esophagogastric Cancer	1.9457956914523975	homdel	28
Esophagogastric Cancer	15.844336344683807	amp	228
Esophagogastric Cancer	9.312022237665046	mutated	134
Cervical Cancer	0.30959752321981426	multiple	1
Cervical Cancer	1.238390092879257	homdel	4
Cervical Cancer	20.43343653250774	amp	66
Cervical Cancer	7.120743034055728	mutated	23
Prostate Cancer	1.1536444677503932	multiple	22
Prostate Cancer	3.3560566334556894	homdel	64
Prostate Cancer	20.5558468799161	amp	392
Prostate Cancer	0.15731515469323545	structuralVariant	3
Prostate Cancer	2.2548505506030416	mutated	43
Head and Neck Cancer	1.4833127317676145	multiple	12
Head and Neck Cancer	0.865265760197775	homdel	7
Head and Neck Cancer	17.3053152039555	amp	140
Head and Neck Cancer	0.2472187886279357	structuralVariant	2
Head and Neck Cancer	5.80964153275649	mutated	47
Non-Small Cell Lung Cancer	2.9479326186830015	multiple	77
Non-Small Cell Lung Cancer	1.339969372128637	homdel	35
Non-Small Cell Lung Cancer	12.863705972434916	amp	336
Non-Small Cell Lung Cancer	0.03828483920367535	structuralVariant	1
Non-Small Cell Lung Cancer	8.422664624808576	mutated	220
Sarcoma	1.1764705882352942	multiple	3
Sarcoma	2.3529411764705883	homdel	6
Sarcoma	18.03921568627451	amp	46
Sarcoma	1.1764705882352942	structuralVariant	3
Sarcoma	2.3529411764705883	mutated	6
