####################################################
#This is the Cancer-frequency.NA file.
#Commented lines (#) must be deleted before use.
#You must change the extension from .txt to .NA before importing with Cytoscape.
#This file attributes Cancers (nodes) with their frequency. 
####################Save this part in file and convert 54,4% to 0.54##############################

Cancer	Altered of cases
Serous Ovarian Cancer (TCGA) 	54,40%
Bladder Urothelial Carcinoma (TCGA, Provisional) 	44,70%
Lung Squamous Cell Carcinoma (TCGA, Provisional) 	41,60%
Cervical Squamous Cell Carcinoma (TCGA, Provisional) 	36,10%
Colon and Rectum Adenocarcinoma (TCGA, Provisional 	35,80%
Breast Invasive Carcinoma (TCGA, Provisional) 	31,90%
Lung Adenocarcinoma (TCGA, Provisional) 	29,00%
Head and Neck Squamous Cell Carcinoma (TCGA, Provisional) 	26,70%
Stomach Adenocarcinoma (TCGA, Provisional) 	26,50%
Sarcoma (MSKCC/Broad) 	24,80%
Liver Hepatocellular Carcinoma (TCGA, Provisional) 	20,80%
Brain Lower Grade Glioma (TCGA, Provisional) 	12,50%
Prostate Adenocarcinoma (TCGA, Provisional) 	12,20%
Uterine Corpus Endometrioid Carcinoma (TCGA, Provisional) 	10,80%
Prostate Cancer (MSKCC) 	8,20%
Glioblastoma (TCGA) 	7,40%
Kidney Renal Clear Cell Carcinoma (TCGA, Provisional) 	7,30%
Pancreatic Adenocarcinoma (TCGA, Provisional) 	7,10%
Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)	7,00%
Thyroid Carcinoma (TCGA, Provisional) . 	2,40%

###########The following part exist yet in correlation+Cancer.txt file###########################
###########Save this part in an other file and convert comma to point############################

#This is the second part of the correlation+Cancer.txt file .
#Commented lines (#) must be deleted before use.
#You must change the extension from .txt to .EA before importing with Cytoscape.
#This file attributes values to interactions (Edges). Thers is two types of interactions: gene-#gene and gene-cancer.
#This part existe in the correlation+Cancer.txt file
#####################################
Serous Ovarian Cancer (TCGA)/All Complete Tumors: (316)				PERCENT_CASES_ALTERED
Ovarian_C (class=java.lang.Double)				
TF	+%28pp%29+	Ovarian_C	=	0,92
PPBP	+%28pp%29+	Ovarian_C	=	0,91
CFHR2	+%28pp%29+	Ovarian_C	=	0,896
CRP	+%28pp%29+	Ovarian_C	=	0,886
CFHR1	+%28pp%29+	Ovarian_C	=	0,883
RBP4	+%28pp%29+	Ovarian_C	=	0,877
PRAP1	+%28pp%29+	Ovarian_C	=	0,858
ADH4	+%28pp%29+	Ovarian_C	=	0,832
LGALS3BP	+%28pp%29+	Ovarian_C	=	0,829
COMP	+%28pp%29+	Ovarian_C	=	0,797
YWHAZ	+%28pp%29+	Ovarian_C	=	0,491
TFRC	+%28pp%29+	Ovarian_C	=	0,326
TPM4	+%28pp%29+	Ovarian_C	=	0,253
VCP	+%28pp%29+	Ovarian_C	=	0,168
S100A8	+%28pp%29+	Ovarian_C	=	0,161
HSPG2	+%28pp%29+	Ovarian_C	=	0,155
PZP	+%28pp%29+	Ovarian_C	=	0,149
ACTB	+%28pp%29+	Ovarian_C	=	0,142
RAP1A	+%28pp%29+	Ovarian_C	=	0,142
BPIFB1	+%28pp%29+	Ovarian_C	=	0,092
ACTN1	+%28pp%29+	Ovarian_C	=	0,085
GC	+%28pp%29+	Ovarian_C	=	0,063
ORM2	+%28pp%29+	Ovarian_C	=	0,063
KLKB1	+%28pp%29+	Ovarian_C	=	0,057
ITIH3	+%28pp%29+	Ovarian_C	=	0,051
HBA1	+%28pp%29+	Ovarian_C	=	0
IGHD	+%28pp%29+	Ovarian_C	=	0
				
GENE_SYMBOL	NUM_CASES_ALTERED	PERCENT_CASES_ALTERED		178 samples
Lunch.Sq_C (class=java.lang.Double)				
ADH4	+%28pp%29+	Lunch.Sq_C	=	0,989
CFHR2	+%28pp%29+	Lunch.Sq_C	=	0,983
PPBP	+%28pp%29+	Lunch.Sq_C	=	0,983
PRAP1	+%28pp%29+	Lunch.Sq_C	=	0,983
CRP	+%28pp%29+	Lunch.Sq_C	=	0,966
HBA1	+%28pp%29+	Lunch.Sq_C	=	0,961
TF	+%28pp%29+	Lunch.Sq_C	=	0,938
COMP	+%28pp%29+	Lunch.Sq_C	=	0,921
RBP4	+%28pp%29+	Lunch.Sq_C	=	0,921
CFHR1	+%28pp%29+	Lunch.Sq_C	=	0,854
LGALS3BP	+%28pp%29+	Lunch.Sq_C	=	0,803
TFRC	+%28pp%29+	Lunch.Sq_C	=	0,612
ACTB	+%28pp%29+	Lunch.Sq_C	=	0,264
YWHAZ	+%28pp%29+	Lunch.Sq_C	=	0,242
VCP	+%28pp%29+	Lunch.Sq_C	=	0,23
TPM4	+%28pp%29+	Lunch.Sq_C	=	0,146
